,Background,betula_papyrifera,tsuga_canadensis,picea_abies,acer_saccharum,betula_sp.,pinus_sylvestris,picea_rubens,betula_alleghaniensis,larix_decidua,fagus_grandifolia,picea_sp.,fagus_sylvatica,dead_tree,acer_pensylvanicum,populus_balsamifera,quercus_ilex,quercus_robur,pinus_strobus,larix_laricina,larix_gmelinii,pinus_pinea,populus_grandidentata,pinus_montezumae,abies_alba,betula_pendula,pseudotsuga_menziesii,fraxinus_nigra,dacrydium_cupressinum,cedrus_libani,acer_pseudoplatanus,pinus_elliottii,cryptomeria_japonica,pinus_koraiensis,abies_holophylla,alnus_glutinosa,fraxinus_excelsior,coniferous,eucalyptus_globulus,pinus_nigra,quercus_rubra,tilia_europaea,abies_firma,acer_sp.,metrosideros_umbellata,acer_rubrum,picea_mariana,abies_balsamea,castanea_sativa,tilia_cordata,populus_sp.,crataegus_monogyna,quercus_petraea,acer_platanoides,robinia_pseudoacacia,fagus_crenata,quercus_sp.,salix_alba,pinus_sp.,carpinus_sp.,deciduous,salix_sp.
fagus_grandifolia,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.0,1.33,0.1,0.6,0.58,0.6,0.28,0.28,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.28,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.35,0.6,0.6,0.6,0.28,0.58,0.6,0.1,0.28,0.65,1.33,0.65,0.58,0.65
picea_sp.,0.0,1.33,0.33,0.0,1.31,1.33,0.26,0.06,1.33,0.26,1.33,0.0,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.0,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.06,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
fagus_sylvatica,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.1,1.33,0.0,0.6,0.58,0.6,0.28,0.28,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.28,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.35,0.6,0.6,0.6,0.28,0.58,0.6,0.1,0.28,0.65,1.33,0.65,0.58,0.65
dead_tree,0.0,0.0,1.4,1.33,0.58,0.0,1.33,1.33,0.1,1.33,0.6,1.33,0.6,0.0,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.1,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.35,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.35,0.58,0.65
acer_pensylvanicum,0.0,0.58,1.38,1.31,0.06,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,0.58,0.0,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.56,0.58,1.31,0.06,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.06,0.63
populus_balsamifera,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.0,0.58,0.58,1.33,1.33,1.33,1.33,0.1,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.0,0.6,0.58,0.58,0.6,0.6,0.58,0.35,1.33,0.65,0.58,0.35
quercus_ilex,0.0,0.58,1.38,1.31,0.56,0.58,1.31,1.31,0.58,1.31,0.28,1.31,0.28,0.58,0.56,0.58,0.0,0.06,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.56,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.06,0.58,1.31,0.56,1.48,0.56,1.31,1.31,0.33,0.58,0.58,0.58,0.06,0.56,0.58,0.28,0.06,0.63,1.31,0.63,0.56,0.63
quercus_robur,0.0,0.58,1.38,1.31,0.56,0.58,1.31,1.31,0.58,1.31,0.28,1.31,0.28,0.58,0.56,0.58,0.06,0.0,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.56,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.06,0.58,1.31,0.56,1.48,0.56,1.31,1.31,0.33,0.58,0.58,0.58,0.06,0.56,0.58,0.28,0.0,0.63,1.31,0.63,0.56,0.63
pinus_strobus,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.0,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
larix_laricina,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.06,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.0,0.06,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
larix_gmelinii,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.06,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.06,0.0,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
pinus_pinea,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.0,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
populus_grandidentata,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.1,0.58,0.58,1.33,1.33,1.33,1.33,0.0,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.1,0.6,0.58,0.58,0.6,0.6,0.58,0.35,1.33,0.65,0.58,0.35
pinus_montezumae,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.0,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
abies_alba,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.0,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.06,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.06,1.31,1.63,1.31,0.26,0.06,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
betula_pendula,0.0,0.1,1.4,1.33,0.58,0.1,1.33,1.33,0.1,1.33,0.6,1.33,0.6,0.1,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.0,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.35,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.35,0.58,0.65
pseudotsuga_menziesii,0.0,1.4,0.4,0.33,1.38,1.4,0.33,0.33,1.4,0.33,1.4,0.33,1.4,1.4,1.38,1.4,1.38,1.38,0.33,0.33,0.33,0.33,1.4,0.33,0.33,1.4,0.0,1.4,1.9,0.8,1.38,0.33,0.8,0.33,0.33,1.45,1.4,0.33,1.7,0.33,1.38,1.4,0.33,1.38,1.7,1.38,0.33,0.33,1.45,1.4,1.4,1.4,1.38,1.38,1.4,1.4,1.38,1.45,0.33,1.45,1.38,1.45
fraxinus_nigra,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.0,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.1,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.65,0.58,0.65
dacrydium_cupressinum,0.0,1.7,1.9,1.83,1.68,1.7,1.83,1.83,1.7,1.83,1.7,1.83,1.7,1.7,1.68,1.7,1.68,1.68,1.83,1.83,1.83,1.83,1.7,1.83,1.83,1.7,1.9,1.7,0.0,1.9,1.68,1.83,1.9,1.83,1.83,1.75,1.7,1.83,2.0,1.83,1.68,1.7,1.83,1.68,2.0,1.68,1.83,1.83,1.75,1.7,1.7,1.7,1.68,1.68,1.7,1.7,1.68,1.75,1.83,1.75,1.68,1.75
cedrus_libani,0.0,1.4,0.8,0.73,1.38,1.4,0.73,0.73,1.4,0.73,1.4,0.73,1.4,1.4,1.38,1.4,1.38,1.38,0.73,0.73,0.73,0.73,1.4,0.73,0.73,1.4,0.8,1.4,1.9,0.0,1.38,0.73,0.8,0.73,0.73,1.45,1.4,0.73,1.7,0.73,1.38,1.4,0.73,1.38,1.7,1.38,0.73,0.73,1.45,1.4,1.4,1.4,1.38,1.38,1.4,1.4,1.38,1.45,0.73,1.45,1.38,1.45
acer_pseudoplatanus,0.0,0.58,1.38,1.31,0.06,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,0.58,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.0,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.56,0.58,1.31,0.06,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.06,0.63
pinus_elliottii,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.0,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
cryptomeria_japonica,0.0,1.4,0.8,0.73,1.38,1.4,0.73,0.73,1.4,0.73,1.4,0.73,1.4,1.4,1.38,1.4,1.38,1.38,0.73,0.73,0.73,0.73,1.4,0.73,0.73,1.4,0.8,1.4,1.9,0.8,1.38,0.73,0.0,0.73,0.73,1.45,1.4,0.73,1.7,0.73,1.38,1.4,0.73,1.38,1.7,1.38,0.73,0.73,1.45,1.4,1.4,1.4,1.38,1.38,1.4,1.4,1.38,1.45,0.73,1.45,1.38,1.45
pinus_koraiensis,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.0,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
abies_holophylla,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.06,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.0,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.06,1.31,1.63,1.31,0.26,0.06,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
alnus_glutinosa,0.0,0.35,1.45,1.38,0.63,0.35,1.38,1.38,0.35,1.38,0.65,1.38,0.65,0.35,0.63,0.65,0.63,0.63,1.38,1.38,1.38,1.38,0.65,1.38,1.38,0.35,1.45,0.65,1.75,1.45,0.63,1.38,1.45,1.38,1.38,0.0,0.65,1.38,1.55,1.38,0.63,0.65,1.38,0.63,1.55,0.63,1.38,1.38,0.7,0.65,0.65,0.65,0.63,0.63,0.65,0.65,0.63,0.7,1.38,0.4,0.63,0.7
fraxinus_excelsior,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.1,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.0,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.65,0.58,0.65
coniferous,0.0,1.33,0.33,0.0,1.31,1.33,0.26,0.06,1.33,0.26,1.33,0.0,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.0,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.06,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
eucalyptus_globulus,0.0,1.5,1.7,1.63,1.48,1.5,1.63,1.63,1.5,1.63,1.5,1.63,1.5,1.5,1.48,1.5,1.48,1.48,1.63,1.63,1.63,1.63,1.5,1.63,1.63,1.5,1.7,1.5,2.0,1.7,1.48,1.63,1.7,1.63,1.63,1.55,1.5,1.63,0.0,1.63,1.48,1.5,1.63,1.48,0.8,1.48,1.63,1.63,1.55,1.5,1.5,1.5,1.48,1.48,1.5,1.5,1.48,1.55,1.63,1.55,1.48,1.55
pinus_nigra,0.0,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.0,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.06,1.38,1.31,1.38
quercus_rubra,0.0,0.58,1.38,1.31,0.56,0.58,1.31,1.31,0.58,1.31,0.28,1.31,0.28,0.58,0.56,0.58,0.06,0.06,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.56,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.0,0.58,1.31,0.56,1.48,0.56,1.31,1.31,0.33,0.58,0.58,0.58,0.06,0.56,0.58,0.28,0.06,0.63,1.31,0.63,0.56,0.63
tilia_europaea,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.58,0.0,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.1,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.65,0.58,0.65
abies_firma,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.06,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.06,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.0,1.31,1.63,1.31,0.26,0.06,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
acer_sp.,0.0,0.58,1.38,1.31,0.0,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,0.58,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.56,0.58,1.31,0.0,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.0,0.63
metrosideros_umbellata,0.0,1.5,1.7,1.63,1.48,1.5,1.63,1.63,1.5,1.63,1.5,1.63,1.5,1.5,1.48,1.5,1.48,1.48,1.63,1.63,1.63,1.63,1.5,1.63,1.63,1.5,1.7,1.5,2.0,1.7,1.48,1.63,1.7,1.63,1.63,1.55,1.5,1.63,0.8,1.63,1.48,1.5,1.63,1.48,0.0,1.48,1.63,1.63,1.55,1.5,1.5,1.5,1.48,1.48,1.5,1.5,1.48,1.55,1.63,1.55,1.48,1.55
acer_rubrum,0.0,0.58,1.38,1.31,0.06,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,0.58,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.56,0.58,1.31,0.06,1.48,0.0,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.06,0.63
picea_mariana,0.0,1.33,0.33,0.06,1.31,1.33,0.26,0.06,1.33,0.26,1.33,0.06,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.06,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.0,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
abies_balsamea,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.06,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.06,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.06,1.31,1.63,1.31,0.26,0.0,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
castanea_sativa,0.0,0.65,1.45,1.38,0.63,0.65,1.38,1.38,0.65,1.38,0.35,1.38,0.35,0.65,0.63,0.65,0.33,0.33,1.38,1.38,1.38,1.38,0.65,1.38,1.38,0.65,1.45,0.65,1.75,1.45,0.63,1.38,1.45,1.38,1.38,0.7,0.65,1.38,1.55,1.38,0.33,0.65,1.38,0.63,1.55,0.63,1.38,1.38,0.0,0.65,0.65,0.65,0.33,0.63,0.65,0.35,0.33,0.7,1.38,0.7,0.63,0.7
tilia_cordata,0.0,0.6,1.4,1.33,0.58,0.6,1.33,1.33,0.6,1.33,0.6,1.33,0.6,0.6,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.6,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.65,0.6,1.33,1.5,1.33,0.58,0.1,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.0,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.65,0.58,0.65
